#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740625462775263291,-0.1736381,-0.46232477,-0.2066613,-1.0785879,0.2753332,9.807847
1740625462774999189,-0.1736381,-0.46232477,-0.2066613,-1.0785879,0.2753332,9.807847
1740625462775017814,-0.1736381,-0.46232477,-0.2066613,-1.0785879,0.2753332,9.807847
1740625462775229250,-0.1736381,-0.46232477,-0.2066613,-1.0785879,0.2753332,9.807847
1740625462775894231,-0.1736381,-0.46232477,-0.2066613,-1.0785879,0.2753332,9.807847
1740627644858980000,-0.1736381,-0.46232477,-0.2066613,-0.7577648,-0.12090719,9.339781
1740627644873274750,-0.1736381,-0.46232477,-0.2066613,-0.7230489,-0.08020575,9.755175
1740627644884132875,-0.1736381,-0.46232477,-0.2066613,-0.62967503,-0.023942016,9.235633
1740627644893961958,-0.1736381,-0.46232477,-0.2066613,-0.6560113,-0.095768064,9.865308
1740627644903508000,-0.1736381,-0.46232477,-0.2066613,-0.6392518,-0.10414778,9.522937
1740627644908363459,-0.1736381,-0.46232477,-0.2066613,-0.6428431,-0.09696517,9.3661175
1740627644923318917,-0.1736381,-0.46232477,-0.2066613,-0.6919243,-0.08379706,9.742006
1740627644933341875,-0.1736381,-0.46232477,-0.2066613,-0.6895301,-0.074220255,9.323022
1740627644943277625,-0.1736381,-0.46232477,-0.2066613,-0.62967503,-0.07182605,9.635465
1740627644993393500,-0.1736381,-0.46232477,-0.2066613,-0.6548142,-0.088585466,9.560047
1740627644953579375,-0.1736381,-0.46232477,-0.2066613,-0.6548142,-0.076614454,9.710882
1740627644963232084,-0.1736381,-0.46232477,-0.2066613,-0.6596026,-0.06584055,9.404425
1740627644969571834,-0.1736381,-0.46232477,-0.2066613,-0.6703765,-0.073023155,9.457097
1740627644983254916,-0.1736381,-0.46232477,-0.2066613,-0.6392518,-0.062249243,9.585187
1740627645003149750,-0.1736381,-0.46232477,-0.2066613,-0.7278373,-0.062249243,9.600749
1740627645013302625,-0.1736381,-0.46232477,-0.2066613,-0.6500258,-0.079008654,9.470264
1740627645018887167,-0.1736381,-0.46232477,-0.2066613,-0.6392518,-0.08259996,9.459491
