timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
1739402161351000000,-0.027696876,0.094808534,0.007456851,-2.8766334,-0.4141969,9.120711
1739402161355000000,-0.03089267,0.0958738,0.0063915867,-2.9508536,-0.4369418,9.138668
1739402161361000000,-0.03195793,0.094808534,0.008522116,-2.9783869,-0.45010993,9.069236
1739402161364000000,-0.034088463,0.09161274,0.010652645,-3.0454245,-0.4357447,9.057265
1739402161369000000,-0.035153728,0.08735169,0.017044231,-3.072958,-0.427365,9.038112
1739402161371000000,-0.035153728,0.08735169,0.017044231,-3.072958,-0.427365,9.038112
1739402161374000000,-0.033023197,0.082025364,0.023435818,-3.1136594,-0.4405331,9.022549
1739402161380000000,-0.033023197,0.0777643,0.029827405,-3.1304188,-0.4249708,9.016563
1739402161385000000,-0.03089267,0.07243799,0.034088463,-3.1364043,-0.4165911,9.033323
1739402161391000000,-0.029827405,0.07137272,0.039414786,-3.1184478,-0.40462008,9.018958
1739402161395000000,-0.027696876,0.06711166,0.04474111,-3.0825348,-0.40701428,8.990228
1739402161399000000,-0.027696876,0.0628506,0.049002163,-3.0753522,-0.40821138,8.968679
1739402161404000000,-0.024501082,0.05965481,0.05006743,-3.05141,-0.4177882,8.979453
1739402161410000000,-0.02130529,0.054328486,0.049002163,-3.0119057,-0.45609543,8.9363575
1739402161415000000,-0.01917476,0.05006743,0.046871636,-2.992752,-0.46926352,8.913613
1739402161420000000,-0.020240024,0.049002163,0.043675844,-3.0142999,-0.47046062,8.944737
1739402161424000000,-0.023435818,0.043675844,0.04261058,-3.0250738,-0.4333505,8.973468
1739402161430000000,-0.025566347,0.040480047,0.040480047,-3.0370448,-0.439336,8.948329
1739402161434000000,-0.027696876,0.037284255,0.040480047,-3.0262709,-0.4285621,9.0081835
1739402161439000000,-0.02876214,0.03195793,0.041545313,-3.0382419,-0.39863458,9.063251
1739402161444000000,-0.02876214,0.02876214,0.043675844,-3.0238767,-0.39025488,9.131485
1739402161449000000,-0.025566347,0.023435818,0.046871636,-3.0107086,-0.3866636,9.153033
1739402161451000000,-0.025566347,0.023435818,0.046871636,-3.0107086,-0.3866636,9.153033
1739402161454000000,-0.023435818,0.018109497,0.051132694,-2.9879637,-0.37469256,9.215282
1739402161460000000,-0.01917476,0.014913702,0.053263225,-2.9783869,-0.34596214,9.228451
1739402161464000000,-0.0127831735,0.013848438,0.054328486,-2.9352913,-0.3172317,9.214086
1739402161469000000,-0.00958738,0.015978966,0.053263225,-2.9113493,-0.30047232,9.169792
1739402161471000000,-0.00958738,0.015978966,0.053263225,-2.9113493,-0.30047232,9.169792
1739402161475000000,-0.0063915867,0.018109497,0.049002163,-2.882619,-0.2908955,9.097966
1739402161480000000,-0.0063915867,0.020240024,0.04580637,-2.8443117,-0.2645593,9.028535
1739402161484000000,-0.008522116,0.024501082,0.040480047,-2.8407204,-0.2801216,8.985439
1739402161490000000,-0.011717909,0.026631612,0.036218993,-2.8766334,-0.24899697,8.968679
1739402161494000000,-0.013848438,0.024501082,0.03089267,-2.8658595,-0.24181437,8.974665
1739402161499000000,-0.01917476,0.020240024,0.027696876,-2.873042,-0.22026655,8.9602995
1739402161504000000,-0.024501082,0.0127831735,0.025566347,-2.8814218,-0.17956513,8.973468
1739402161510000000,-0.026631612,0.0053263223,0.025566347,-2.8898015,-0.19393034,8.969876
1739402161514000000,-0.024501082,-0.004261058,0.024501082,-2.9029696,-0.20949265,9.012972
1739402161520000000,-0.026631612,-0.008522116,0.023435818,-2.9269116,-0.21068975,8.99741
1739402161524000000,-0.024501082,-0.011717909,0.02130529,-2.907758,-0.20829555,9.074024
1739402161529000000,-0.01917476,-0.013848438,0.02130529,-2.9125464,-0.19752164,9.038112
1739402161535000000,-0.013848438,-0.014913702,0.01917476,-2.896984,-0.18794483,9.059659
1739402161540000000,-0.007456851,-0.015978966,0.018109497,-2.8682537,-0.21308395,9.108741
1739402161544000000,-0.0031957934,-0.017044231,0.018109497,-2.8538885,-0.20829555,9.103952
1739402161549000000,0.0,-0.015978966,0.014913702,-2.8323407,-0.23104046,9.099164
1739402161552000000,0.0,-0.015978966,0.014913702,-2.8323407,-0.23104046,9.099164
1739402161555000000,0.0031957934,-0.014913702,0.011717909,-2.8455088,-0.23702596,9.100361
1739402161559000000,0.004261058,-0.0127831735,0.008522116,-2.8215668,-0.25498247,9.115923
1739402161564000000,0.0063915867,-0.011717909,0.0053263223,-2.8107927,-0.25139117,9.093178
1739402161570000000,0.007456851,-0.011717909,0.0010652645,-2.8514943,-0.2621651,9.129091
1739402161574000000,0.00958738,-0.011717909,-0.0010652645,-2.8766334,-0.25498247,9.136273
1739402161580000000,0.010652645,-0.00958738,-0.0031957934,-2.895787,-0.25019407,9.126697
1739402161585000000,0.00958738,-0.008522116,-0.004261058,-2.9640217,-0.25977087,9.111135
1739402161590000000,0.010652645,-0.007456851,-0.004261058,-2.9616275,-0.22864626,9.082404
1739402161595000000,0.010652645,-0.008522116,-0.0031957934,-2.9580362,-0.22984336,9.0716305
1739402161599000000,0.008522116,-0.010652645,-0.002130529,-2.956839,-0.21906945,9.082404
1739402161604000000,0.007456851,-0.0127831735,-0.0010652645,-2.9532478,-0.22385786,9.078813
1739402161611000000,0.0053263223,-0.014913702,0.002130529,-2.9400797,-0.22505496,9.033323
1739402161615000000,0.0053263223,-0.015978966,0.002130529,-2.954445,-0.22266077,9.060856
1739402161620000000,0.004261058,-0.01917476,0.0010652645,-2.956839,-0.23942018,9.093178
1739402161626000000,0.0063915867,-0.02130529,0.002130529,-2.919729,-0.2741361,9.084799
1739402161630000000,0.0063915867,-0.026631612,0.0010652645,-2.9053638,-0.2681506,9.083601
1739402161634000000,0.0063915867,-0.03195793,0.0,-2.9029696,-0.2908955,9.129091
1739402161639000000,0.007456851,-0.035153728,0.0,-2.9125464,-0.2717419,9.120711
1739402161644000000,0.00958738,-0.03834952,0.0,-2.9245174,-0.25139117,9.130288
1739402161649000000,0.011717909,-0.03834952,0.0,-2.9269116,-0.21906945,9.180567
1739402161651000000,0.011717909,-0.03834952,0.0,-2.9269116,-0.21906945,9.180567
1739402161655000000,0.0127831735,-0.037284255,0.0,-2.9400797,-0.21068975,9.141062
1739402161660000000,0.010652645,-0.034088463,0.0010652645,-2.9125464,-0.25019407,9.137471
1739402161666000000,0.008522116,-0.02876214,0.002130529,-2.9029696,-0.25258827,9.138668
1739402161671000000,0.0063915867,-0.02130529,0.0031957934,-2.9101522,-0.2669535,9.102755
1739402161674000000,0.002130529,-0.015978966,0.0010652645,-2.9017725,-0.2825158,9.1255
1739402161680000000,-0.004261058,-0.010652645,0.0,-2.907758,-0.29448682,9.114726
1739402161685000000,-0.008522116,-0.0063915867,-0.0010652645,-2.9113493,-0.31124622,9.100361
1739402161687000000,-0.008522116,-0.0063915867,-0.0010652645,-2.9113493,-0.31124622,9.100361
1739402161692000000,-0.011717909,-0.004261058,-0.0010652645,-2.895787,-0.29688102,9.127894
1739402161693000000,-0.013848438,-0.0031957934,-0.002130529,-2.873042,-0.2873042,9.132683
1739402161699000000,-0.013848438,-0.004261058,-0.002130529,-2.895787,-0.30166942,9.157822
1739402161704000000,-0.0127831735,-0.0063915867,-0.004261058,-2.882619,-0.2873042,9.193734
1739402161709000000,-0.010652645,-0.008522116,-0.0063915867,-2.8802247,-0.2813187,9.19134
1739402161711000000,-0.010652645,-0.008522116,-0.0063915867,-2.8802247,-0.2813187,9.19134
1739402161715000000,-0.0053263223,-0.013848438,-0.007456851,-2.858677,-0.29807812,9.178172
1739402161720000000,-0.0010652645,-0.017044231,-0.00958738,-2.8526914,-0.30406362,9.165004
1739402161724000000,0.0010652645,-0.01917476,-0.014913702,-2.8550856,-0.33518824,9.175778
1739402161731000000,0.004261058,-0.020240024,-0.018109497,-2.8670566,-0.33159694,9.218874
1739402161735000000,0.007456851,-0.02130529,-0.022370555,-2.8886044,-0.30166942,9.165004
1739402161740000000,0.0063915867,-0.025566347,-0.024501082,-2.9017725,-0.30765492,9.196129
1739402161745000000,0.0063915867,-0.029827405,-0.024501082,-2.9053638,-0.33279404,9.121908
1739402161750000000,0.002130529,-0.033023197,-0.023435818,-2.944868,-0.36032736,9.153033
1739402161751000000,0.002130529,-0.033023197,-0.023435818,-2.944868,-0.36032736,9.153033
1739402161756000000,-0.0010652645,-0.034088463,-0.02130529,-2.9496565,-0.37708676,9.157822
1739402161760000000,-0.004261058,-0.033023197,-0.01917476,-2.966416,-0.35434186,9.090784
1739402161764000000,-0.00958738,-0.02876214,-0.017044231,-2.9891608,-0.32800564,9.124303
1739402161771000000,-0.014913702,-0.022370555,-0.013848438,-3.0346506,-0.33997664,9.129091
1739402161775000000,-0.018109497,-0.014913702,-0.0063915867,-3.0190883,-0.33039984,9.102755
1739402161780000000,-0.022370555,-0.008522116,-0.0010652645,-3.004723,-0.30166942,9.119514
1739402161784000000,-0.027696876,0.002130529,0.004261058,-3.0442274,-0.30526072,9.148245
1739402161789000000,-0.03089267,0.008522116,0.00958738,-3.027468,-0.31364042,9.101558
1739402161791000000,-0.03089267,0.008522116,0.00958738,-3.027468,-0.31364042,9.101558
1739402161794000000,-0.035153728,0.013848438,0.0127831735,-2.9783869,-0.30885202,9.033323
1739402161799000000,-0.041545313,0.02130529,0.014913702,-2.9640217,-0.30047232,9.040505
1739402161804000000,-0.046871636,0.025566347,0.017044231,-2.9520507,-0.2705448,9.015367
1739402161809000000,-0.053263225,0.027696876,0.014913702,-2.8886044,-0.2621651,9.011775
1739402161811000000,-0.053263225,0.027696876,0.014913702,-2.8886044,-0.2621651,9.011775
1739402161816000000,-0.060720075,0.02876214,0.011717909,-2.9221232,-0.2801216,9.022549
1739402161818000000,-0.060720075,0.02876214,0.011717909,-2.9221232,-0.2801216,9.022549
1739402161823000000,-0.066046394,0.025566347,0.011717909,-2.9281087,-0.2777274,8.9998045
