#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740627645163280640,0.0010652645,0.0031957934,-0.0010652645,-0.6751649,-0.08259996,9.588778
1740627645168131072,1e-10,0.004261058,-0.0010652645,-0.6859388,-0.077811554,9.601946
1740627645183377408,0.0010652645,0.002130529,-0.002130529,-0.6787562,-0.08499416,9.544485
1740627645194574080,-0.0010652645,0.0010652645,1e-10,-0.641646,-0.07062895,9.592369
1740627645198347776,0.0010652645,0.0010652645,1e-10,-0.6607997,-0.079008654,9.609129
1740627645208497664,0.0010652645,0.0031957934,1e-10,-0.6739678,-0.074220255,9.516952
1740627645223249408,0.0031957934,-0.0010652645,-0.0010652645,-0.6667852,-0.074220255,9.578004
1740627645233345536,0.0010652645,1e-10,0.0010652645,-0.6607997,-0.08259996,9.5013895
1740627645243364608,0.0031957934,0.002130529,1e-10,-0.6655881,-0.076614454,9.606734
1740627645249144832,0.004261058,0.002130529,-0.0010652645,-0.6679823,-0.08619126,9.569624
1740627645264209152,0.002130529,0.002130529,1e-10,-0.6787562,-0.073023155,9.610326
1740627645269293056,0.002130529,0.0010652645,1e-10,-0.6775591,-0.08140286,9.55885
1740627645283296512,0.002130529,0.0010652645,1e-10,-0.6572084,-0.073023155,9.595961
1740627645293563136,0.0010652645,0.0031957934,0.0010652645,-0.6811504,-0.062249243,9.533711
1740627645299030784,0.002130529,0.002130529,1e-10,-0.6967127,-0.06464344,9.585187
1740627645313671424,0.002130529,0.0031957934,-0.0010652645,-0.6560113,-0.092176765,9.5492735
1740627645320493824,0.0031957934,0.0031957934,1e-10,-0.6691794,-0.079008654,9.509769
1740627645327511040,0.0010652645,0.002130529,0.0010652645,-0.6368576,-0.079008654,9.595961
1740627645340818176,0.002130529,0.0010652645,-0.0010652645,-0.6799533,-0.06344634,9.560047
1740627645349646336,0.002130529,1e-10,-0.0010652645,-0.6607997,-0.094570965,9.546879
1740627645349664512,0.002130529,1e-10,-0.0010652645,-0.6607997,-0.094570965,9.546879
1740627645369518592,0.004261058,0.0031957934,1e-10,-0.6835446,-0.05626374,9.522937
1740627645369527552,0.004261058,0.0031957934,1e-10,-0.6835446,-0.05626374,9.522937
1740627645389846272,0.0031957934,0.0010652645,1e-10,-0.6691794,-0.06344634,9.561244
1740627645389988352,0.0031957934,0.0010652645,1e-10,-0.6691794,-0.06344634,9.561244
1740627645410052352,0.002130529,0.002130529,1e-10,-0.6512229,-0.07182605,9.5385
1740627645410056448,0.002130529,0.002130529,1e-10,-0.6512229,-0.07182605,9.5385
1740627645419441408,0.0010652645,0.002130529,1e-10,-0.6440403,-0.073023155,9.586384
1740627645439977472,0.0010652645,0.002130529,-0.002130529,-0.6619968,-0.049081136,9.57561
1740627645455574272,0.002130529,0.0031957934,1e-10,-0.6500258,-0.079008654,9.560047
1740627645469343744,0.0010652645,1e-10,-0.0010652645,-0.6727707,-0.06464344,9.600749
1740627645469348864,0.0010652645,1e-10,-0.0010652645,-0.6727707,-0.06464344,9.600749
1740627645489751552,1e-10,0.0010652645,1e-10,-0.6548142,-0.08499416,9.537302
1740627645504198656,0.0010652645,0.002130529,1e-10,-0.6715736,-0.075417355,9.512163
1740627645504400640,0.0010652645,0.002130529,1e-10,-0.6715736,-0.075417355,9.512163
1740627645520728320,0.0031957934,0.002130529,1e-10,-0.6631939,-0.08619126,9.600749
1740627645541800704,0.0031957934,0.0031957934,1e-10,-0.6751649,-0.06943185,9.533711
1740627645541802240,0.0031957934,0.0031957934,1e-10,-0.6751649,-0.06943185,9.533711
1740627645559895552,0.0010652645,0.0010652645,-0.0010652645,-0.6691794,-0.074220255,9.540894
1740627645559911168,0.0010652645,0.0010652645,-0.0010652645,-0.6691794,-0.074220255,9.540894
1740627645581470464,0.002130529,0.002130529,0.0010652645,-0.664391,-0.08379706,9.552865
1740627645591284992,0.0031957934,0.0010652645,-0.0010652645,-0.6572084,-0.088585466,9.545682
1740627645600038144,0.002130529,0.0031957934,1e-10,-0.6715736,-0.076614454,9.533711
1740627645609716224,0.002130529,0.0031957934,1e-10,-0.6655881,-0.076614454,9.557653
